owner,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
Brown-Ferris Industries,1,0,0.0,16.0,16,16,13.0,13,13,0.0,0,0,124.0,,900,900,900,900
Bruce Griffin,1,0,0.0,28.0,28,28,41.0,41,41,0.0,0,0,40.0,,2530,2530,2530,2530
Bruce Haley,4,0,0.0,25.75,8,36,22.75,12,33,0.0,0,0,16.0,,7276,1819,2646,1320
Bruce Lawmaster,28,3,0.10714,11.54,1,41,15.46,1,40,9.18,257,146,120.61,,65608,2343,9675,400
Brunell Asphalt,2,0,0.0,37.0,35,39,22.5,21,24,0.0,0,0,95.5,,7583,3792,3883,3700
Bryan Goewey,2,0,0.0,25.0,8,42,41.0,39,43,0.0,0,0,23.0,,12193,6097,9493,2700
Bryan Mullet,87,0,0.0,19.76,2,42,18.36,2,43,1.63,142,85,109.64,,2398038,27564,65818,15445
Bryan Perry,1,0,0.0,42.0,42,42,26.0,26,26,0.0,0,0,85.0,,12100,12100,12100,12100
Bryan Smith,15,0,0.0,23.13,18,30,19.07,6,39,0.0,0,0,18.67,0.0,0,,,
Bryant Racing,1,0,0.0,40.0,40,40,16.0,16,16,0.0,0,0,115.0,,3890,3890,3890,3890
Bryant Stith,31,0,0.0,29.61,12,41,27.68,12,43,0.03,1,1,80.13,,603859,19479,37030,12400
Bubba Nissen,1,0,0.0,23.0,23,23,17.0,17,17,0.0,0,0,0.0,,250,250,250,250
Buck Holder,4,0,0.0,22.5,16,32,25.0,15,40,0.0,0,0,88.0,,4445,1111,2120,575
Buddy Baker,1,0,0.0,22.0,22,22,40.0,40,40,0.0,0,0,43.0,,1445,1445,1445,1445
Buddy Baker / Danny Schiff,9,0,0.0,15.44,1,40,20.56,3,41,0.89,8,8,85.67,,31025,3447,16440,340
Budweiser,2,0,0.0,21.5,17,26,17.5,9,26,0.0,0,0,42.5,,3715,1858,2300,1415
Bull Frog Knits,2,0,0.0,21.0,15,27,20.5,16,25,0.0,0,0,101.5,,1665,833,840,825
Bullets Restaurant,1,0,0.0,32.0,32,32,20.0,20,20,0.0,0,0,103.0,,1565,1565,1565,1565
Bumpass Motors,1,0,0.0,18.0,18,18,23.0,23,23,0.0,0,0,0.0,,205,205,205,205
Bunton Chevrolet,1,0,0.0,30.0,30,30,32.0,32,32,0.0,0,0,67.0,,1505,1505,1505,1505
Burch Fencing,1,0,0.0,22.0,22,22,15.0,15,15,0.0,0,0,118.0,,300,300,300,300
Burger King,1,0,0.0,29.0,29,29,27.0,27,27,0.0,0,0,82.0,,265,265,265,265
Burks Hauling,1,0,0.0,9.0,9,9,33.0,33,33,0.0,0,0,64.0,,370,370,370,370
Butch Jarvis,9,0,0.0,38.67,31,43,37.78,35,42,0.0,0,0,49.67,,113590,12621,17630,9980
Butch Leitzinger,2,0,0.0,18.0,4,32,21.0,15,27,0.0,0,0,100.0,,5396,2698,3520,1876
Butch Mock,8,2,0.25,7.5,2,33,6.75,1,32,36.25,290,162,153.38,,45370,5671,9045,860
Butner Racing,3,0,0.0,24.33,24,25,15.0,13,17,0.0,0,0,118.0,,1275,425,600,325
Buttke Dairy Farms,3,0,0.0,20.33,16,28,19.67,17,23,0.0,0,0,104.0,,3410,1137,1325,860
Buz McCall,48,2,0.04167,13.69,1,42,15.15,1,40,11.4,547,185,121.85,,397725,8286,22375,2065
Byrd's Food Stores,1,0,0.0,28.0,28,28,33.0,33,33,0.0,0,0,64.0,,1805,1805,1805,1805
C & H Motorsports,1,0,0.0,4.0,4,4,29.0,29,29,0.0,0,0,76.0,,1600,1600,1600,1600
C.B. Gwyn,57,0,0.0,11.3,1,25,12.96,3,37,1.02,58,19,126.75,,106803,1874,12713,325
C.E. Clower,4,0,0.0,38.25,33,41,33.5,25,40,0.5,2,2,63.75,,67610,16903,21660,13970
C.J. Enterprises,5,0,0.0,21.8,20,23,16.2,13,26,0.0,0,0,97.4,,2670,534,950,350
CMT,1,0,0.0,8.0,8,8,29.0,29,29,2.0,2,2,76.0,,1195,1195,1195,1195
Cal Wells,13,0,0.0,24.08,5,43,28.77,10,43,0.0,0,0,76.77,,133370,10259,23000,6600
Campbell / DeSouza Racing,32,2,0.0625,13.59,1,39,18.78,1,40,15.72,503,182,110.53,,631850,19745,43650,9800
Capel Rugs,10,0,0.0,27.6,18,41,19.4,10,35,0.0,0,0,104.9,,8450,845,2200,400
Carl Haas,36,0,0.0,33.14,18,42,28.14,5,42,0.0,0,0,78.22,,925277,25702,48477,15310
Carl Harris,4,0,0.0,31.25,25,34,22.0,17,27,0.0,0,0,97.0,,9953,2488,4525,1238
Carl Long,505,0,0.0,31.39,2,40,29.93,2,40,0.04,18,4,6.7,0.0,14185,14185,14185,14185
Carl Merrill,1,0,0.0,41.0,41,41,15.0,15,15,0.0,0,0,0.0,,1550,1550,1550,1550
Carl Natale,25,0,0.0,31.84,20,43,24.96,11,40,0.08,2,1,88.52,,448415,17937,36550,12065
Carl Wegner,14,1,0.07143,22.64,1,43,23.0,1,40,0.71,10,6,89.86,,79748,5696,15850,1725
Carol Levin,87,0,0.0,22.29,3,43,18.21,3,42,0.03,3,3,108.25,,270453,3109,10413,485
Carolyn Laugeni,2,0,0.0,32.0,28,36,36.0,30,42,0.0,0,0,55.0,,5540,2770,2875,2665
Carrier / Building Unlimited / AEU,1,0,0.0,19.0,19,19,14.0,14,14,0.0,0,0,0.0,,1560,1560,1560,1560
Carter-Mays,1,0,0.0,36.0,36,36,29.0,29,29,0.0,0,0,76.0,,560,560,560,560
Carter-Mays-Mycarela,1,0,0.0,22.0,22,22,26.0,26,26,0.0,0,0,85.0,,300,300,300,300
Cary Agajanian,3,0,0.0,21.33,5,35,39.33,34,42,0.0,0,0,20.33,,50425,16808,20255,13880
Caspro,2,0,0.0,37.5,35,40,24.5,18,31,0.0,0,0,89.5,,2175,1088,1530,645
Caspro Racing,1,0,0.0,33.0,33,33,21.0,21,21,0.0,0,0,0.0,,450,450,450,450
Cathy Venturini,6,0,0.0,27.17,12,39,20.17,11,35,0.0,0,0,35.83,,37384,6231,20200,900
Cavin Councilor,1,0,0.0,33.0,33,33,43.0,43,43,0.0,0,0,34.0,,12855,12855,12855,12855
Centurion Auto Transport,2,0,0.0,20.5,20,21,35.0,34,36,0.0,0,0,58.0,,2390,1195,2075,315
Centurion Transport,2,0,0.0,19.5,15,24,31.5,30,33,0.5,1,1,68.5,,2680,1340,2250,430
Chad Beahr,1,0,0.0,42.0,42,42,38.0,38,38,0.0,0,0,49.0,,18010,18010,18010,18010
Chance2 Motorsports,94,16,0.17021,8.54,1,43,10.07,1,40,24.27,2281,152,143.18,,3443611,36634,129046,11190
Charles Davidson,6,0,0.0,18.0,17,20,17.83,10,24,0.0,0,0,109.67,,2570,428,990,200
Charles Hardy,24,1,0.04167,15.17,1,38,18.54,1,38,3.58,86,47,110.13,,127460,5311,28950,1115
Charles Long,2,0,0.0,28.5,24,33,33.0,28,38,0.0,0,0,64.0,,28050,14025,15350,12700
Charles O'Connor,10,0,0.0,24.4,11,42,19.6,10,40,1.6,16,16,84.0,,34853,3485,5396,1725
Charles Powell,1,0,0.0,11.0,11,11,20.0,20,20,0.0,0,0,103.0,,7925,7925,7925,7925
Charles Prince,2,0,0.0,14.5,8,21,38.5,38,39,0.0,0,0,24.5,,8330,4165,4275,4055
Charles Shoffner,84,0,0.0,34.12,14,43,29.15,12,42,0.01,1,1,75.6,,2055958,24476,52278,12270
Charlie Henderson,298,3,0.01007,18.32,1,43,19.9,1,46,3.35,998,161,103.74,,1285135,4313,20830,270
Charlie Luck,97,0,0.0,17.11,4,41,14.54,2,38,0.05,5,3,119.1,,118513,1222,11838,100
Chinchor Electric Inc.,1,0,0.0,24.0,24,24,25.0,25,25,0.0,0,0,12.0,0.0,0,,,
Chip Ganassi,373,20,0.05362,13.01,1,42,16.42,1,43,9.17,3422,202,69.7,0.22,5971071,28707,125646,11955
Chris Cockrum,5,0,0.0,32.4,27,39,30.2,26,34,0.0,0,0,6.8,0.0,0,,,
