owner,season,owner_season_races,owner_season_wins,owner_season_top_5,owner_season_top_10,owner_season_top_20,owner_season_win_pct,owner_season_trucks_raced,owner_season_truck_win_pct,owner_season_avg_start,owner_season_avg_finish,owner_season_avg_laps_led,owner_season_laps_led
Rick Hendrick,1997,26,3,16,23,25,0.11538,26,0.11538,7.42,6.27,38.62,1004
Rick McCray,1997,5,0,0,0,1,0.0,5,0.0,22.0,24.6,0.0,0
Rob Rizzo,1997,13,0,0,1,5,0.0,14,0.0,23.07,24.5,0.0,0
Ron Keselowski,1997,26,1,2,6,15,0.03846,26,0.03846,17.5,17.54,4.19,109
Ron Norick,1997,15,0,0,1,6,0.0,15,0.0,20.73,23.73,0.0,0
Sam Beatty,1997,1,0,0,0,0,0.0,1,0.0,24.0,36.0,0.0,0
Steve Coulter,1997,15,1,2,5,9,0.06667,15,0.06667,16.07,18.6,0.8,12
Steve Lucore,1997,2,0,0,0,0,0.0,3,0.0,26.33,29.33,0.0,0
T.J. Clark,1997,2,0,0,0,0,0.0,2,0.0,21.0,27.0,0.0,0
Ted Phillips,1997,2,0,0,0,0,0.0,2,0.0,30.5,31.0,0.0,0
Thee Dixon,1997,1,0,0,0,1,0.0,1,0.0,31.0,19.0,0.0,0
Thomas Stump,1997,1,0,0,0,1,0.0,1,0.0,38.0,15.0,0.0,0
Tim Buckley,1997,7,0,0,0,1,0.0,7,0.0,24.86,25.71,0.0,0
Tom Gloy,1997,8,0,1,1,3,0.0,8,0.0,13.13,21.25,4.38,35
Tom Mitchell,1997,26,0,1,10,20,0.0,27,0.0,17.07,15.26,0.89,24
Walker Evans,1997,26,0,5,12,20,0.0,28,0.0,20.32,15.04,0.0,0
Wayne Spears,1997,24,0,0,2,9,0.0,26,0.0,20.77,22.31,0.04,1
Wilbur Bunce,1997,2,0,0,0,1,0.0,2,0.0,31.5,21.0,0.0,0
William Grubb,1997,5,0,0,0,0,0.0,5,0.0,24.6,27.0,0.0,0
