owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_cars_raced,owner_overall_car_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
Tom Cherry,1,0,0.0,0,1,1,1,0.0,13.0,9.0,0,0.0
Tom Coleman,1,0,0.0,0,0,0,1,0.0,31.0,34.0,0,0.0
Tom Craigen,2,0,0.0,0,0,0,2,0.0,40.5,36.0,0,0.0
Tom Daniels,35,0,0.0,6,12,24,35,0.0,15.86,18.86,2,0.06
Tom Friedkin,95,7,0.07368,35,53,77,106,0.06604,8.63,13.78,2130,20.09
Tom Garn,96,0,0.0,3,20,55,97,0.0,19.7,18.76,4,0.04
Tom Gifford,3,0,0.0,0,0,0,3,0.0,28.0,31.33,0,0.0
Tom Goff,18,0,0.0,0,0,3,18,0.0,33.83,26.0,0,0.0
Tom Harbison,27,1,0.03704,9,14,22,30,0.03333,15.03,15.83,190,6.33
Tom Hawkins,5,0,0.0,0,0,3,5,0.0,24.6,24.0,0,0.0
Tom Heveron,15,0,0.0,0,0,3,15,0.0,32.0,28.0,7,0.47
Tom Hixon,6,0,0.0,0,1,2,6,0.0,28.33,25.33,0,0.0
Tom Hunter,84,0,0.0,2,13,48,84,0.0,27.36,20.31,0,0.0
Tom Lucas,1,0,0.0,0,0,0,1,0.0,47.0,50.0,0,0.0
Tom Mitchell,18,0,0.0,0,0,3,18,0.0,26.72,26.17,0,0.0
Tom Pistone,48,0,0.0,8,11,24,48,0.0,15.06,21.65,395,8.23
Tom Raley,9,0,0.0,0,0,2,9,0.0,22.56,26.33,0,0.0
Tom Reet,1,0,0.0,0,0,0,1,0.0,18.0,30.0,0,0.0
Tom Reynolds,5,0,0.0,0,2,5,5,0.0,32.8,15.2,0,0.0
Tom Roa,1,0,0.0,0,0,0,1,0.0,40.0,42.0,0,0.0
Tom Roady,7,0,0.0,3,5,8,10,0.0,13.2,11.9,0,0.0
Tom Spell,16,0,0.0,1,1,10,16,0.0,17.0,18.75,0,0.0
Tom Suligoy,1,0,0.0,0,0,0,1,0.0,11.0,39.0,0,0.0
Tom Travis,1,0,0.0,0,0,0,1,0.0,57.0,25.0,0,0.0
Tom Vandiver,1,0,0.0,0,0,0,1,0.0,19.0,22.0,0,0.0
Tom Vernon,7,0,0.0,1,1,2,7,0.0,20.86,26.14,22,3.14
Tom Williams,5,0,0.0,0,0,1,5,0.0,31.4,29.0,0,0.0
Tom Winkle,64,0,0.0,0,1,17,65,0.0,28.8,27.15,9,0.14
Tommy Andrews,2,0,0.0,0,0,2,2,0.0,13.0,17.0,0,0.0
"Tommy Baldwin, Jr.",300,0,0.0,2,4,26,425,0.0,34.92,31.29,86,0.2
