driver,career_races,career_wins,career_win_pct,career_top_5,career_top_5_pct,career_top_10,career_top_10_pct,career_top_20,career_top_20_pct,career_avg_start,career_best_start,career_worst_start,career_avg_finish,career_best_finish,career_worst_finish,career_avg_laps_led,career_total_laps_led,career_most_laps_led,career_total_money,career_avg_money,career_max_race_money,career_min_race_money
Al Straub,2,0,0.0,0,0.0,0,0.0,0,0.0,22.0,19,25,31.0,30,32,0.0,0,0,1250,625,950,300
Al Tasnady,4,0,0.0,0,0.0,0,0.0,1,0.25,27.75,14,40,41.25,12,77,0.0,0,0,385,193,275,110
Al Terrell,1,0,0.0,0,0.0,0,0.0,0,0.0,26.0,26,26,31.0,31,31,0.0,0,0,0,,,
Al Tibbetts,1,0,0.0,0,0.0,0,0.0,0,0.0,,,,27.0,27,27,0.0,0,0,0,,,
Al Unser,5,0,0.0,2,0.4,3,0.6,4,0.8,11.8,6,25,12.6,4,29,0.2,1,1,15900,3180,6250,1550
"Al Unser, Jr.",1,0,0.0,0,0.0,0,0.0,0,0.0,40.0,40,40,36.0,36,36,0.0,0,0,23005,23005,23005,23005
Al Wagoner,1,0,0.0,0,0.0,1,1.0,1,1.0,13.0,13,13,8.0,8,8,0.0,0,0,75,75,75,75
Al Watkins,18,0,0.0,0,0.0,4,0.22222,18,1.0,20.88,12,38,13.67,8,18,0.0,0,0,1510,84,175,25
Al Webber,2,0,0.0,0,0.0,1,0.5,2,1.0,19.5,18,21,13.0,9,17,0.0,0,0,150,75,100,50
Al Weber,1,0,0.0,0,0.0,0,0.0,0,0.0,,,,21.0,21,21,0.0,0,0,0,,,
Al White,36,0,0.0,0,0.0,7,0.19444,27,0.75,21.64,4,48,15.81,6,42,0.0,0,0,4425,130,250,35
Alan Kulwicki,207,5,0.02415,38,0.18357,75,0.36232,132,0.63768,12.0,1,41,16.41,1,40,12.98,2686,282,3151092,15223,89000,1250
Albert Lemieux,1,0,0.0,0,0.0,1,1.0,1,1.0,17.0,17,17,10.0,10,10,0.0,0,0,50,50,50,50
Albert Price,1,0,0.0,0,0.0,0,0.0,0,0.0,28.0,28,28,26.0,26,26,0.0,0,0,25,25,25,25
Alex Bowman,311,8,0.02572,38,0.12219,91,0.2926,176,0.56592,17.94,1,43,19.52,1,43,4.23,1315,194,6524446,91894,334346,53830
Alex Kennedy,22,0,0.0,0,0.0,0,0.0,0,0.0,40.27,35,43,35.09,25,42,0.0,0,0,1587027,75573,107193,51050
Allan Clarke,6,0,0.0,0,0.0,1,0.16667,5,0.83333,19.0,14,26,15.67,9,29,0.0,0,0,200,33,75,25
Allan Grice,2,0,0.0,0,0.0,0,0.0,0,0.0,34.0,32,36,34.5,34,35,0.0,0,0,3600,1800,1900,1700
Allan Harley,2,0,0.0,0,0.0,0,0.0,0,0.0,33.0,23,43,34.5,25,44,0.0,0,0,150,150,150,150
Allen Adkins,14,0,0.0,5,0.35714,8,0.57143,13,0.92857,13.07,3,66,9.79,2,34,5.64,79,79,3670,262,700,50
Allen Franklin,2,0,0.0,0,0.0,0,0.0,0,0.0,31.0,25,37,34.0,30,38,0.0,0,0,225,113,125,100
Allen Heath,5,0,0.0,0,0.0,0,0.0,1,0.2,18.33,13,24,25.4,17,30,0.0,0,0,100,25,25,25
Allen McMillion,2,0,0.0,0,0.0,0,0.0,1,0.5,18.0,15,21,17.0,13,21,0.0,0,0,260,130,150,110
Alon Day,2,0,0.0,0,0.0,0,0.0,0,0.0,33.0,32,34,35.0,32,38,0.0,0,0,0,,,
Alton Haddock,4,0,0.0,0,0.0,1,0.25,1,0.25,32.0,6,73,34.75,8,72,0.0,0,0,250,63,100,25
Alton Jones,13,0,0.0,1,0.07692,4,0.30769,6,0.46154,30.85,7,54,22.23,5,47,0.0,0,0,12010,924,1485,250
Amos Johnson,1,0,0.0,0,0.0,0,0.0,1,1.0,35.0,35,35,13.0,13,13,0.0,0,0,1450,1450,1450,1450
