Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,9.0,18.0,73.0,"John Dodd, Jr.","John Dodd, Sr.",'53 Hudson,93.0,100.0,running,0.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,10.0,16.0,56.0,Tommy Ringstaff,J.B. Cunningham,'55 Packard,92.0,100.0,running,0.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,11.0,21.0,460.0,Gene Simpson,Brooks Brothers,'55 Plymouth,91.0,25.0,running,0.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,12.0,6.0,55.0,Junior Johnson,B & L Motors (Jim Lowe / Carl Beckham),'55 Oldsmobile,86.0,25.0,king pin,0.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,13.0,8.0,9.0,Donald Thomas,Herb Thomas,'54 Hudson,80.0,25.0,engine,0.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,14.0,10.0,98.0,Dick Rathmann,Dave Terrell,'53 Oldsmobile,76.0,25.0,spindle,0.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,15.0,9.0,28.0,Eddie Skinner,Frank Dodge,'53 Oldsmobile,67.0,25.0,running,0.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,16.0,11.0,92.0,Herb Thomas,Motoramic (Herb Thomas),'55 Chevrolet,65.0,25.0,wheel,0.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,17.0,1.0,300.0,Tim Flock,Mercury Outboards (Carl Kiekhaefer),'55 Chrysler,49.0,25.0,spindle,48.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,18.0,7.0,59.0,Blackie Pitt,Brownie Pitt,'54 Oldsmobile,48.0,25.0,steering,0.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,19.0,20.0,80.0,John Capps,–,'50 Lincoln,17.0,25.0,crash,0.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,20.0,12.0,5.0,Jimmie Lewallen,Joe Blair,'54 Mercury,9.0,25.0,fuel pump,0.0
1955,7,Hillsboro,Orange Speedway,1.0,dirt track,21.0,17.0,19.0,Fred Dove,Ken Pace,'50 Mercury,2.0,,engine,0.0
1955,8,North Wilkesboro,North Wilkesboro Speedway,0.625,dirt track,1.0,2.0,87,Buck Baker,Griffin Motors (Bob Griffin),'54 Oldsmobile,160.0,1000.0,running,160.0
1955,8,North Wilkesboro,North Wilkesboro Speedway,0.625,dirt track,2.0,8.0,3,Dick Rathmann,Blue Crown (John Ditz),'54 Hudson,160.0,650.0,running,0.0
