owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_cars_raced,owner_overall_car_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
Dennis Heating,2,0,0.0,0,0,2,2,0.0,23.0,15.0,0,0.0
Dennis Heating & Air Conditioning,9,0,0.0,0,2,8,9,0.0,19.67,14.78,0,0.0
Dennis Reno,2,0,0.0,0,0,1,2,0.0,17.5,20.5,0,0.0
Dennis Setzer,1,0,0.0,0,0,0,1,0.0,5.0,40.0,0,0.0
Dennis Shoemaker,142,2,0.01408,18,38,84,142,0.01408,17.37,19.52,401,2.82
Derek White,43,0,0.0,0,0,0,77,0.0,35.44,34.4,1,0.01
Derick Close,6,0,0.0,2,2,3,6,0.0,26.33,18.5,0,0.0
Derrike Cope,126,0,0.0,0,0,1,134,0.0,33.46,33.78,0,0.0
Dexter Tuttle,1,0,0.0,0,0,0,1,0.0,32.0,35.0,0,0.0
Dick & Mary Davis,6,0,0.0,0,0,1,6,0.0,34.33,28.5,0,0.0
Dick Bown,99,0,0.0,3,7,29,99,0.0,21.06,25.58,71,0.72
Dick McCabe,17,1,0.05882,2,4,7,17,0.05882,27.18,23.82,107,6.29
Dick Moroso,175,8,0.04571,36,70,113,176,0.04545,14.64,16.01,1550,8.81
Dickie Linville,7,0,0.0,0,0,5,7,0.0,23.75,18.0,0,0.0
Diet Pepsi,1,0,0.0,0,1,1,1,0.0,11.0,9.0,0,0.0
Dietrich Mateschitz,2,0,0.0,0,0,2,2,0.0,16.5,16.0,0,0.0
Dini Racing Engines,1,0,0.0,0,0,1,1,0.0,,17.0,0,0.0
Don Beverley,176,7,0.03977,34,69,121,176,0.03977,16.15,15.44,1648,9.36
Don Fauerbach,3,0,0.0,0,0,0,3,0.0,42.33,33.67,0,0.0
"Don Ling, Sr.",33,0,0.0,0,0,10,33,0.0,26.45,27.79,0,0.0
Don Lotarto Cars,1,0,0.0,0,0,1,1,0.0,6.0,18.0,0,0.0
Don Marcrum,4,0,0.0,0,0,0,4,0.0,28.0,34.25,0,0.0
