driver,career_races,career_wins,career_win_pct,career_top_5,career_top_5_pct,career_top_10,career_top_10_pct,career_top_20,career_top_20_pct,career_avg_start,career_best_start,career_worst_start,career_avg_finish,career_best_finish,career_worst_finish,career_avg_laps_led,career_total_laps_led,career_most_laps_led,career_total_money,career_avg_money,career_max_race_money,career_min_race_money
Brett Oakley,1,0,0.0,0,0.0,0,0.0,0,0.0,42.0,42,42,38.0,38,38,0.0,0,0,11035,11035,11035,11035
Brett Rowe,30,0,0.0,0,0.0,0,0.0,0,0.0,37.3,27,43,35.6,21,43,0.0,0,0,570213,19007,32875,9770
Brian Donley,4,0,0.0,0,0.0,0,0.0,0,0.0,40.5,39,42,33.0,27,43,0.0,0,0,14755,3689,4175,3185
Brian Henderson,3,0,0.0,0,0.0,0,0.0,1,0.33333,30.67,22,36,24.0,18,33,0.0,0,0,0,,,
Brian Ickler,8,0,0.0,0,0.0,1,0.125,4,0.5,28.75,18,38,22.25,9,34,0.0,0,0,185848,23231,30193,16650
Brian Keselowski,63,0,0.0,0,0.0,1,0.01587,9,0.14286,32.46,10,43,31.57,10,43,0.1,6,4,1288246,20448,57903,11345
Brian Ross,3,0,0.0,0,0.0,0,0.0,2,0.66667,33.67,32,36,24.67,15,43,0.0,0,0,13420,4473,7645,2325
Brian Scott,210,0,0.0,21,0.1,79,0.37619,159,0.75714,11.14,1,42,15.26,2,41,3.14,659,239,5467571,26286,64013,15650
Brian Simo,6,0,0.0,0,0.0,0,0.0,1,0.16667,26.17,20,39,27.0,20,40,0.0,0,0,172289,28715,47968,2525
Brian Smith,1,0,0.0,0,0.0,0,0.0,0,0.0,32.0,32,32,27.0,27,27,0.0,0,0,6225,6225,6225,6225
Brian Sockwell,4,0,0.0,0,0.0,0,0.0,0,0.0,37.75,34,43,28.75,27,30,0.0,0,0,54365,13591,16685,10940
Brian Tyler,9,0,0.0,0,0.0,0,0.0,0,0.0,36.0,27,43,34.0,23,43,0.0,0,0,105574,11730,15150,8540
Brian Vickers,148,3,0.02027,45,0.30405,78,0.52703,106,0.71622,12.55,1,43,14.32,1,43,7.51,1111,152,4016867,27141,74112,9025
Brian Weber,20,0,0.0,0,0.0,0,0.0,0,0.0,39.35,32,43,35.15,25,43,0.0,0,0,223993,11200,19125,995
Bruce Bechtel,10,0,0.0,0,0.0,0,0.0,0,0.0,34.0,25,41,32.7,24,42,0.0,0,0,170655,17066,20875,7965
Bruce Haley,4,0,0.0,0,0.0,0,0.0,2,0.5,25.75,8,36,22.75,12,33,0.0,0,0,7276,1819,2646,1320
Bryan Baker,1,0,0.0,0,0.0,0,0.0,0,0.0,27.0,27,27,28.0,28,28,0.0,0,0,325,325,325,325
Bryan Clauson,26,0,0.0,1,0.03846,2,0.07692,10,0.38462,17.31,1,39,24.38,5,38,0.08,2,1,664697,25565,62162,16635
Bryan Reffner,3,0,0.0,0,0.0,0,0.0,0,0.0,31.33,25,36,35.67,29,43,0.0,0,0,45584,15195,20069,12425
Bryan Silas,7,0,0.0,0,0.0,0,0.0,1,0.14286,33.0,28,39,25.57,20,36,0.0,0,0,133726,19104,23150,16350
Bryan Wall,6,0,0.0,0,0.0,0,0.0,0,0.0,28.5,14,43,25.0,22,30,0.0,0,0,37442,6240,9125,3350
Bubba Adams,13,0,0.0,2,0.15385,5,0.38462,9,0.69231,14.08,2,29,15.08,2,29,0.0,0,0,7995,615,1400,250
Bubba Nissen,26,0,0.0,2,0.07692,8,0.30769,20,0.76923,13.0,3,27,15.38,2,29,0.0,0,0,20285,780,3150,210
Bubba Pollard,1,0,0.0,0,0.0,1,1.0,1,1.0,37.0,37,37,6.0,6,6,0.0,0,0,0,,,
Bubba Wallace,88,0,0.0,6,0.06818,36,0.40909,73,0.82955,12.93,1,40,13.97,2,35,1.89,166,52,1162880,29817,62603,21525
Buck Doran,1,0,0.0,0,0.0,1,1.0,1,1.0,26.0,26,26,9.0,9,9,0.0,0,0,600,600,600,600
Buck Godsey,1,0,0.0,0,0.0,0,0.0,1,1.0,,,,13.0,13,13,0.0,0,0,200,200,200,200
Buckshot Jones,147,2,0.01361,13,0.08844,33,0.22449,80,0.54422,20.54,1,43,20.5,1,42,4.0,588,122,1851233,12593,39350,2045
Bud Elliott,17,0,0.0,0,0.0,1,0.05882,9,0.52941,27.5,22,37,19.71,9,36,0.0,0,0,6260,368,745,100
Burney Lamar,59,0,0.0,1,0.01695,4,0.0678,19,0.32203,22.36,4,41,26.54,2,42,0.07,4,2,1594430,27024,98425,14405
Butch Isom,6,0,0.0,0,0.0,1,0.16667,6,1.0,20.0,19,21,14.17,10,18,0.0,0,0,2010,335,500,230
Butch Jarvis,2,0,0.0,0,0.0,0,0.0,0,0.0,41.0,41,41,39.5,39,40,0.0,0,0,22415,11208,11835,10580
Butch Leitzinger,5,0,0.0,1,0.2,1,0.2,3,0.6,13.2,4,32,16.8,2,27,2.6,13,13,47221,9444,23750,1876
Butch Lindley,41,6,0.14634,19,0.46341,22,0.53659,31,0.7561,6.21,1,16,13.0,1,39,16.73,686,200,76615,1869,8800,200
Butch Miller,93,2,0.02151,11,0.11828,27,0.29032,62,0.66667,17.82,1,42,16.29,1,37,2.02,188,67,429125,4614,16865,375
Buzzie Bezanson,2,0,0.0,0,0.0,0,0.0,0,0.0,6.5,5,8,33.0,29,37,53.0,106,64,10860,5430,8050,2810
C.J. Faison,2,0,0.0,0,0.0,0,0.0,0,0.0,33.5,30,37,31.5,23,40,0.0,0,0,35095,17548,24186,10909
C.J. McLaughlin,42,0,0.0,0,0.0,1,0.02381,5,0.11905,33.57,21,40,28.55,10,40,0.0,0,0,0,,,
C.W. Smith,7,0,0.0,0,0.0,0,0.0,2,0.28571,28.43,17,35,30.0,14,39,0.0,0,0,135345,19335,35255,12155
Caesar Bacarella,30,0,0.0,0,0.0,2,0.06667,6,0.2,28.4,12,38,27.9,6,38,0.0,0,0,0,,,
Cale Conley,42,0,0.0,0,0.0,1,0.02381,15,0.35714,22.62,4,40,23.9,6,37,0.0,0,0,988231,24103,56271,10240
Cale Gale,25,0,0.0,1,0.04,3,0.12,12,0.48,17.28,1,39,21.08,4,37,0.84,21,18,649068,25963,51512,16280
Caleb Holman,5,0,0.0,0,0.0,0,0.0,0,0.0,38.0,31,40,32.8,28,42,0.0,0,0,72485,14497,20830,11165
Caleb Roark,1,0,0.0,0,0.0,0,0.0,0,0.0,38.0,38,38,32.0,32,32,0.0,0,0,19505,19505,19505,19505
Camden Murphy,7,0,0.0,0,0.0,0,0.0,1,0.14286,28.57,20,39,27.86,20,33,0.0,0,0,0,,,
Carl Edwards,245,38,0.1551,130,0.53061,174,0.7102,207,0.8449,8.76,1,42,9.6,1,43,24.43,5985,185,8634842,35244,141920,10285
Carl Long,128,0,0.0,0,0.0,0,0.0,0,0.0,35.38,21,43,36.2,26,43,0.0,0,0,1342971,14287,22755,6810
Carl Williford,2,0,0.0,0,0.0,0,0.0,2,1.0,28.5,28,29,14.0,11,17,0.0,0,0,3220,1610,2380,840
