owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_trucks_raced,owner_overall_truck_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
James Burr,5,0,0.0,0,0,2,5,0.0,29.6,24.2,0,0.0
James Finch,1,0,0.0,0,0,0,1,0.0,6.0,28.0,0,0.0
James Harris,179,0,0.0,14,59,128,205,0.0,18.66,17.56,185,0.9
James Liguori,37,0,0.0,0,0,8,37,0.0,27.3,26.46,0,0.0
James Lynch,7,0,0.0,0,0,2,7,0.0,26.86,26.0,0,0.0
James Murphy,16,0,0.0,0,0,2,16,0.0,31.31,27.0,0,0.0
Jason Little,27,0,0.0,0,7,18,27,0.0,16.52,17.15,2,0.07
Jason Small,3,0,0.0,0,1,1,3,0.0,23.33,18.0,0,0.0
Jason White,22,0,0.0,2,5,18,22,0.0,16.55,15.41,66,3.0
Jay Miller,1,0,0.0,0,0,0,1,0.0,33.0,29.0,0,0.0
Jay Robinson,91,0,0.0,1,2,50,120,0.0,24.92,21.27,9,0.08
Jay Stewart,2,0,0.0,0,0,0,2,0.0,36.0,32.0,0,0.0
Jeff Bolen,31,0,0.0,0,3,20,31,0.0,21.77,18.52,4,0.13
Jeff Finley,8,0,0.0,0,1,3,8,0.0,20.5,22.63,0,0.0
Jeff Milburn,5,0,0.0,0,0,0,5,0.0,34.0,31.6,0,0.0
Jeff Russell,3,0,0.0,0,0,0,3,0.0,26.0,26.0,0,0.0
Jeff Sinden,3,0,0.0,0,0,1,3,0.0,24.67,26.67,0,0.0
Jeff Spraker,3,0,0.0,0,0,0,3,0.0,28.67,27.33,0,0.0
Jeff Wyler,140,3,0.02143,20,49,108,142,0.02113,13.52,14.97,499,3.51
Jennifer Jo Cobb,236,0,0.0,0,1,38,324,0.0,29.64,27.17,23,0.07
Jerry Brown,23,0,0.0,1,1,7,23,0.0,22.78,22.74,0,0.0
Jerry Churchill,9,0,0.0,0,1,6,10,0.0,24.1,18.2,0,0.0
Jerry Glanville,28,0,0.0,0,0,9,28,0.0,26.07,22.71,0,0.0
Jerry Gunderman,3,0,0.0,0,0,2,3,0.0,18.33,18.67,0,0.0
Jerry Hill,4,0,0.0,0,0,1,4,0.0,31.5,22.75,0,0.0
Jerry Lawrence,2,0,0.0,0,0,0,2,0.0,30.5,32.5,0,0.0
Jerry Miller,5,0,0.0,0,0,0,5,0.0,32.8,31.6,0,0.0
Jerry Mueller,3,0,0.0,0,0,1,3,0.0,28.67,24.0,0,0.0
Jerry Reary,2,0,0.0,0,0,0,2,0.0,35.0,30.0,0,0.0
Jerry Spilsbury,2,0,0.0,0,0,0,2,0.0,30.5,27.0,0,0.0
Jerry Wharton,25,0,0.0,1,1,10,25,0.0,17.44,23.28,53,2.12
Jesse Little,2,0,0.0,0,0,2,2,0.0,12.5,19.0,0,0.0
Jim Clark,13,0,0.0,1,2,6,13,0.0,20.08,20.54,1,0.08
Jim Collier,1,0,0.0,0,0,0,1,0.0,30.0,28.0,0,0.0
Jim Dean,2,0,0.0,0,0,1,2,0.0,24.0,24.5,0,0.0
Jim Herrick,129,3,0.02326,31,53,90,136,0.02206,15.47,15.52,421,3.1
Jim Inglebright,17,0,0.0,0,1,11,17,0.0,16.88,19.59,0,0.0
